iter	RMSE
0	31.72702335
1	30.75482234
2	29.75722673
3	28.82616376
4	27.87431761
5	26.96487341
6	26.05971156
7	25.18652962
8	24.41038519
9	23.60146249
10	22.87391522
11	22.10511828
12	21.43343643
13	20.74856536
14	20.11732029
15	19.45595246
16	18.87698448
17	18.33134769
18	17.74256421
19	17.19803771
20	16.65873574
21	16.15857743
22	15.65827951
23	15.18361151
24	14.73482919
25	14.26862255
26	13.84704186
27	13.41594767
28	13.01793339
29	12.62705021
30	12.24327889
31	11.84489246
32	11.50031839
33	11.15028465
34	10.8010109
35	10.49223468
36	10.19598509
37	9.885958058
38	9.602344994
39	9.313455685
40	9.022222856
41	8.754350985
42	8.495699659
43	8.241151977
44	8.001005902
45	7.754948071
46	7.541309189
47	7.328991664
48	7.117530818
49	6.91561098
50	6.723864981
51	6.521690325
52	6.324821294
53	6.14794871
54	5.969350018
55	5.7995294
56	5.646118122
57	5.505382187
58	5.344578767
59	5.198975904
60	5.051726001
61	4.92117567
62	4.802479709
63	4.678403263
64	4.560488487
65	4.435250213
66	4.334709507
67	4.218731739
68	4.108845736
69	4.002154186
70	3.899263297
71	3.805126057
72	3.712360355
73	3.617739926
74	3.528095879
75	3.446053896
76	3.363384999
77	3.287496304
78	3.21378988
79	3.142858151
80	3.077878086
81	3.012673703
82	2.944799983
83	2.881563131
84	2.828325687
85	2.769080665
86	2.715931119
87	2.660626177
88	2.610329572
89	2.557861125
90	2.509022738
91	2.458307981
92	2.41506046
93	2.372233425
94	2.328173363
95	2.290668571
96	2.248336455
97	2.213904716
98	2.173779979
99	2.137575894
100	2.102790274
101	2.070761821
102	2.03638508
103	2.00946701
104	1.977881945
105	1.952498022
106	1.923430617
107	1.896219326
108	1.870371557
109	1.845193244
110	1.821074359
111	1.798380268
112	1.776636814
113	1.757990484
114	1.738100401
115	1.723809175
116	1.71662763
117	1.697944648
118	1.678290378
119	1.661579845
120	1.653965957
121	1.649036885
122	1.63409654
123	1.629072009
124	1.612914515
125	1.599211124
126	1.591811543
127	1.580019919
128	1.570546628
129	1.564951485
130	1.550412036
131	1.541193519
132	1.531882151
133	1.518400438
134	1.506666415
135	1.501650179
136	1.487463233
137	1.483119941
138	1.475580517
139	1.46323415
140	1.45932995
141	1.454906364
142	1.451177563
143	1.446600913
144	1.433501106
145	1.429435186
146	1.417534481
147	1.413857488
148	1.404164793
149	1.399643066
150	1.390472523
151	1.387949118
152	1.384775362
153	1.381605244
154	1.371870594
155	1.361545856
156	1.351364378
157	1.348819158
158	1.343279582
159	1.335083653
160	1.33214799
161	1.328701201
162	1.325743598
163	1.321721203
164	1.318722492
165	1.306952348
166	1.297569357
167	1.289806527
168	1.281048621
169	1.275635996
170	1.273062529
171	1.267103448
172	1.263992886
173	1.261490407
174	1.259266171
175	1.252536996
176	1.250358934
177	1.247668461
178	1.238579395
179	1.235141661
180	1.232980163
181	1.229929648
182	1.22776149
183	1.225957289
184	1.223944154
185	1.222206242
186	1.21985565
187	1.215256453
188	1.213018728
189	1.209623758
190	1.2036559
191	1.201874924
192	1.200215729
193	1.196278622
194	1.194929709
195	1.18486334
196	1.177520287
197	1.175730521
198	1.173900653
199	1.16962036
200	1.166596094
201	1.164863813
202	1.163135255
203	1.155699612
204	1.154558748
205	1.145858683
206	1.144493125
207	1.143211334
208	1.140162371
209	1.13862476
210	1.135515278
211	1.13406212
212	1.132720142
213	1.125591178
214	1.124392533
215	1.122445086
216	1.121117297
217	1.116534352
218	1.109069739
219	1.107818891
220	1.10674034
221	1.105230431
222	1.103859504
223	1.096745618
224	1.095672437
225	1.088396046
226	1.080526827
227	1.078077224
228	1.075944047
229	1.069380545
230	1.064275357
231	1.062262864
232	1.061101778
233	1.060115136
234	1.055074648
235	1.054118425
236	1.046688101
237	1.045760939
238	1.044855037
239	1.03995218
240	1.039035009
241	1.037826307
242	1.036902892
243	1.031040773
244	1.025115595
245	1.0231982
246	1.020045929
247	1.018220571
248	1.012963432
249	1.012217437
250	1.011488604
251	1.009779265
252	1.008370687
253	1.004036994
254	0.997913561
255	0.9917120871
256	0.9869139082
257	0.9817724242
258	0.9811227239
259	0.9795823627
260	0.9785299152
